customer_id,treated,churned
RT-000001,1,0
RT-000002,0,0
RT-000003,1,1
RT-000004,0,0
RT-000005,0,0
RT-000006,0,0
RT-000007,0,0
RT-000008,1,0
RT-000009,0,1
RT-000010,0,0
RT-000011,0,0
RT-000012,0,0
RT-000013,1,0
RT-000014,0,0
RT-000015,0,0
RT-000016,0,0
RT-000017,1,0
RT-000018,0,0
RT-000019,0,0
RT-000020,0,0
RT-000021,0,0
RT-000022,0,0
RT-000023,0,0
RT-000024,0,0
RT-000025,1,0
RT-000026,1,0
RT-000027,1,0
RT-000028,1,0
RT-000029,1,0
RT-000030,1,0
RT-000031,0,0
RT-000032,1,0
RT-000033,0,0
RT-000034,0,0
RT-000035,0,0
RT-000036,0,0
RT-000037,0,1
RT-000038,1,0
RT-000039,0,0
RT-000040,1,0
RT-000041,0,1
RT-000042,0,0
RT-000043,0,0
RT-000044,0,0
RT-000045,0,0
RT-000046,0,0
RT-000047,0,0
RT-000048,0,0
RT-000049,0,0
RT-000050,0,0
RT-000051,0,0
RT-000052,1,0
RT-000053,0,0
RT-000054,0,0
RT-000055,0,0
RT-000056,0,0
RT-000057,0,0
RT-000058,1,0
RT-000059,0,0
RT-000060,0,1
RT-000061,0,0
RT-000062,0,0
RT-000063,0,0
RT-000064,0,0
RT-000065,0,0
RT-000066,1,0
RT-000067,0,1
RT-000068,0,0
RT-000069,0,0
RT-000070,0,0
RT-000071,0,0
RT-000072,1,0
RT-000073,1,0
RT-000074,0,0
RT-000075,0,0
RT-000076,0,0
RT-000077,1,0
RT-000078,0,0
RT-000079,1,0
RT-000080,0,0
RT-000081,0,0
RT-000082,0,0
RT-000083,1,0
RT-000084,0,0
RT-000085,0,0
RT-000086,0,0
RT-000087,1,0
RT-000088,0,0
RT-000089,0,0
RT-000090,1,0
RT-000091,0,0
RT-000092,0,0
RT-000093,0,0
RT-000094,0,0
RT-000095,0,0
RT-000096,0,0
RT-000097,0,0
RT-000098,1,0
RT-000099,0,0
RT-000100,0,0
RT-000101,0,0
RT-000102,1,0
RT-000103,1,0
RT-000104,0,1
RT-000105,1,0
RT-000106,0,0
RT-000107,0,0
RT-000108,0,0
RT-000109,0,0
RT-000110,0,0
RT-000111,0,0
RT-000112,1,0
RT-000113,0,0
RT-000114,0,0
RT-000115,0,0
RT-000116,0,0
RT-000117,0,0
RT-000118,1,0
RT-000119,1,0
RT-000120,0,0
RT-000121,0,0
RT-000122,0,0
RT-000123,0,0
RT-000124,0,1
RT-000125,0,0
RT-000126,1,0
RT-000127,0,0
RT-000128,0,0
RT-000129,0,0
RT-000130,1,0
RT-000131,0,0
RT-000132,1,0
RT-000133,0,0
RT-000134,0,0
RT-000135,1,0
RT-000136,0,0
RT-000137,0,0
RT-000138,0,0
RT-000139,0,0
RT-000140,0,0
RT-000141,0,0
RT-000142,0,0
RT-000143,0,0
RT-000144,1,0
RT-000145,0,0
RT-000146,0,0
RT-000147,0,0
RT-000148,1,0
RT-000149,1,0
RT-000150,1,0
RT-000151,0,0
RT-000152,1,0
RT-000153,0,0
RT-000154,0,0
RT-000155,0,0
RT-000156,0,0
RT-000157,0,0
RT-000158,0,0
RT-000159,0,0
RT-000160,1,0
RT-000161,0,1
RT-000162,0,0
RT-000163,0,0
RT-000164,0,0
RT-000165,0,0
RT-000166,1,0
RT-000167,1,0
RT-000168,0,0
RT-000169,1,0
RT-000170,0,0
RT-000171,1,0
RT-000172,1,0
RT-000173,0,0
RT-000174,0,1
RT-000175,1,0
RT-000176,0,0
RT-000177,0,0
RT-000178,1,0
RT-000179,0,0
RT-000180,0,0
RT-000181,0,0
RT-000182,1,0
RT-000183,0,0
RT-000184,1,0
RT-000185,1,0
RT-000186,1,0
RT-000187,0,0
RT-000188,0,0
RT-000189,0,0
RT-000190,1,0
RT-000191,1,0
RT-000192,0,0
RT-000193,1,0
RT-000194,0,0
RT-000195,0,1
RT-000196,0,0
RT-000197,0,0
RT-000198,1,0
RT-000199,1,0
RT-000200,0,0
RT-000201,0,0
RT-000202,1,0
RT-000203,0,0
RT-000204,0,0
RT-000205,0,0
RT-000206,0,0
RT-000207,0,0
RT-000208,0,0
RT-000209,0,0
RT-000210,1,0
RT-000211,0,0
RT-000212,1,0
RT-000213,1,0
RT-000214,0,0
RT-000215,1,0
RT-000216,0,0
RT-000217,0,1
RT-000218,0,0
RT-000219,0,0
RT-000220,1,0
RT-000221,0,0
RT-000222,0,0
RT-000223,1,0
RT-000224,1,0
RT-000225,1,0
RT-000226,0,1
RT-000227,0,0
RT-000228,1,0
RT-000229,1,0
RT-000230,0,0
RT-000231,1,0
RT-000232,1,0
RT-000233,0,0
RT-000234,0,0
RT-000235,0,0
RT-000236,0,0
RT-000237,0,0
RT-000238,0,0
RT-000239,0,0
RT-000240,0,0
RT-000241,0,0
RT-000242,1,0
RT-000243,0,0
RT-000244,0,0
RT-000245,0,0
RT-000246,0,0
RT-000247,0,0
RT-000248,0,0
RT-000249,1,0
RT-000250,1,1
RT-000251,0,1
RT-000252,0,0
RT-000253,0,0
RT-000254,0,0
RT-000255,0,0
RT-000256,0,1
RT-000257,0,0
RT-000258,1,0
RT-000259,0,0
RT-000260,0,0
RT-000261,1,0
RT-000262,0,0
RT-000263,0,0
RT-000264,0,0
RT-000265,0,0
RT-000266,0,1
RT-000267,1,0
RT-000268,0,1
RT-000269,0,0
RT-000270,0,0
RT-000271,0,0
RT-000272,1,0
RT-000273,0,0
RT-000274,0,0
RT-000275,0,0
RT-000276,1,0
RT-000277,0,0
RT-000278,0,0
RT-000279,0,0
RT-000280,0,0
RT-000281,1,0
RT-000282,0,0
RT-000283,0,0
RT-000284,1,0
RT-000285,1,0
RT-000286,1,0
RT-000287,1,0
RT-000288,1,0
RT-000289,0,0
RT-000290,0,0
RT-000291,0,0
RT-000292,1,0
RT-000293,0,0
RT-000294,0,0
RT-000295,1,0
RT-000296,0,0
RT-000297,1,0
RT-000298,1,0
RT-000299,1,0
RT-000300,1,0
RT-000301,0,0
RT-000302,0,0
RT-000303,0,0
RT-000304,0,0
RT-000305,0,0
RT-000306,1,0
RT-000307,0,0
RT-000308,1,0
RT-000309,0,0
RT-000310,1,0
RT-000311,1,0
RT-000312,0,0
RT-000313,1,0
RT-000314,1,0
RT-000315,0,0
RT-000316,0,1
RT-000317,0,0
RT-000318,0,0
RT-000319,0,0
RT-000320,0,0
RT-000321,1,0
RT-000322,0,0
RT-000323,0,0
RT-000324,1,0
RT-000325,0,0
RT-000326,0,0
RT-000327,0,0
RT-000328,0,0
RT-000329,1,0
RT-000330,1,0
RT-000331,0,0
RT-000332,0,0
RT-000333,0,0
RT-000334,0,0
RT-000335,0,0
RT-000336,0,0
RT-000337,0,0
RT-000338,0,0
RT-000339,0,0
RT-000340,0,1
RT-000341,1,0
RT-000342,1,0
RT-000343,1,0
RT-000344,0,0
